Iterations	Score	Mean Score	Max Snake Lengths	Nb Turns
0	-15	-15	3	4
1	0	-7	3	1
2	0	-5	3	1
3	-45	-15	3	10
4	0	-12	3	1
5	-15	-12	3	4
6	-25	-14	3	6
7	-5	-13	3	2
8	-10	-12	3	3
9	0	-11	3	1
10	-10	-11	3	3
11	-25	-12	3	6
12	0	-11	3	1
13	0	-10	3	1
14	-10	-10	3	3
15	-15	-10	3	4
16	-10	-10	3	3
17	0	-10	3	1
18	0	-9	3	1
19	-25	-10	3	6
20	-70	-13	3	15
21	-5	-12	3	2
22	-5	-12	3	2
23	-5	-12	3	2
24	0	-11	3	1
25	-5	-11	3	2
26	-30	-12	3	7
27	-40	-13	3	9
28	-10	-13	3	3
29	0	-12	3	1
30	0	-12	3	1
31	0	-11	3	1
32	-15	-11	3	4
33	475	2	4	7
34	-15	1	3	4
35	-40	0	3	9
36	0	0	3	1
37	-5	0	3	2
38	0	0	3	1
39	0	0	3	1
40	-15	0	3	4
41	0	0	3	1
42	-5	0	3	2
43	-45	-1	3	10
44	-5	-1	3	2
45	-15	-1	3	4
46	-75	-2	3	16
47	-25	-3	3	6
48	-10	-3	3	3
49	0	-3	3	1
50	475	5	4	7
51	-5	5	3	2
52	-25	5	3	6
53	0	5	3	1
54	-10	4	3	3
55	-5	4	3	2
56	-5	4	3	2
57	0	4	3	1
58	495	12	4	3
59	-5	12	3	2
60	-5	12	3	2
61	-5	11	3	2
62	-30	11	3	7
63	0	10	3	1
64	-70	9	3	15
65	-30	9	3	7
66	420	15	4	18
67	-45	14	3	12
68	-10	13	3	3
69	-10	13	3	3
70	-5	13	3	2
71	0	13	3	1
72	-55	12	3	12
73	-70	11	3	15
74	-10	10	3	3
75	-10	10	3	3
76	-5	10	3	2
77	-150	8	3	31
78	435	13	4	15
79	0	13	3	1
80	-25	13	3	6
81	0	12	3	1
82	0	12	3	1
83	-20	12	3	5
84	-30	11	3	7
85	-35	11	3	8
86	-20	10	3	5
87	0	10	3	1
88	0	10	3	1
89	-25	10	3	6
90	500	15	4	2
91	0	15	3	1
92	0	15	3	1
93	-15	15	3	4
94	950	24	5	13
95	-10	24	3	3
96	-195	22	3	40
97	-15	21	3	4
98	-10	21	3	3
99	0	21	3	1
100	-5	21	3	2
101	-30	20	3	7
102	920	29	5	19
103	-40	28	3	9
104	400	32	4	22
105	0	31	3	1
106	0	31	3	1
107	-40	30	3	9
108	-10	30	3	3
109	-55	29	3	12
110	-15	29	3	4
111	330	32	4	36
112	-35	31	3	8
113	470	35	4	8
114	-60	34	3	13
115	0	34	3	1
116	-40	33	3	9
117	-15	33	3	4
118	-55	32	3	12
119	0	32	3	1
120	-55	31	3	12
121	-150	29	3	31
122	0	29	3	1
123	-95	28	3	20
124	-25	28	3	6
125	-70	27	3	15
126	-15	27	3	4
127	0	26	3	1
128	450	30	4	12
129	495	33	4	3
130	-35	33	3	8
131	-40	32	3	9
132	0	32	3	1
133	0	32	3	1
134	-20	31	3	5
135	480	35	4	6
136	470	38	4	8
137	-15	37	3	4
138	0	37	3	1
139	-40	37	3	9
140	-45	36	3	10
141	0	36	3	1
142	-55	35	3	12
143	-20	35	3	5
144	-10	34	3	3
145	450	37	4	12
146	-5	37	3	2
147	-5	37	3	2
148	-25	36	3	6
149	-535	32	2	9
150	-10	32	3	3
151	1470	42	6	10
152	-70	41	3	15
153	-20	40	3	5
154	-15	40	3	4
155	-50	40	3	11
156	-10	39	3	3
157	395	41	4	23
158	-35	41	3	8
159	470	44	4	8
160	-5	43	3	2
161	-5	43	3	2
162	440	45	4	14
163	-15	45	3	4
164	-85	44	3	18
165	-150	43	3	31
166	410	45	4	20
167	945	51	5	14
168	-70	50	3	15
169	-150	49	3	31
170	-20	48	3	5
171	-45	48	3	10
172	0	48	3	1
173	0	47	3	1
174	-145	46	3	30
175	0	46	3	1
176	485	48	4	5
177	-5	48	3	2
