Iterations	Score	Mean Score	Max Snake Lengths	Nb Turns
0	302	302	5	7
1	0	151	3	1
2	0	100	3	1
3	-10	73	3	11
4	-2	58	3	3
5	0	48	3	1
6	-8	40	3	9
7	-1	35	3	2
8	142	47	4	10
9	-3	42	3	4
10	-1	38	3	2
11	0	34	3	1
12	153	44	4	11
13	0	40	3	1
14	-4	37	3	5
15	-4	35	3	5
16	120	40	2	14
17	0	38	3	1
18	-2	35	3	3
19	-5	33	3	6
20	-3	32	3	4
21	0	30	3	1
22	-2	29	3	3
23	-11	27	3	12
24	-6	26	3	9
25	-3	25	3	4
26	-1	24	3	2
27	-7	23	3	8
28	-3	22	3	4
29	-9	21	3	10
30	-3	20	3	4
31	-2	19	3	11
32	-1	18	3	2
33	-12	18	3	13
34	0	17	3	1
35	-1	17	3	2
36	0	16	3	1
37	153	20	4	5
38	-2	19	3	3
39	0	19	3	1
40	-6	18	3	7
41	0	18	3	1
42	-5	17	3	6
43	149	20	4	9
44	156	23	4	8
45	-9	22	3	10
46	0	22	3	1
47	-5	21	3	6
48	0	21	3	1
49	0	20	3	1
50	-1	20	3	2
51	0	20	3	1
52	0	19	3	1
53	0	19	3	1
54	0	18	3	1
55	0	18	3	1
56	-8	18	3	9
57	-9	17	3	10
58	-1	17	3	2
59	0	17	3	1
60	-2	16	3	3
61	-17	16	2	9
62	-11	15	3	12
63	-16	15	2	8
64	0	15	3	1
65	-3	14	3	4
66	-8	14	3	9
67	0	14	3	1
68	0	14	3	1
69	-4	13	3	5
70	-1	13	3	2
71	-1	13	3	2
72	-15	12	3	16
73	0	12	3	1
74	-7	12	3	8
75	-15	12	2	7
76	0	12	3	1
77	0	11	3	1
78	-2	11	3	3
79	150	13	4	4
80	-3	13	3	4
81	151	14	4	7
82	-2	14	3	3
83	0	14	3	1
84	-6	14	3	7
85	0	14	3	1
86	-1	13	3	2
87	-3	13	3	4
88	0	13	3	1
89	0	13	3	1
90	-7	13	3	8
91	0	13	3	1
92	-11	12	2	7
93	-1	12	3	2
94	-1	12	3	2
95	0	12	3	1
96	-6	12	3	9
97	-3	12	3	4
98	0	11	3	7
99	-7	11	3	8
100	-3	11	3	4
101	0	11	3	1
102	0	11	3	1
103	-9	11	3	10
104	144	12	4	8
105	0	12	3	1
106	0	12	3	1
107	-15	11	2	9
108	0	11	3	1
109	-11	11	3	12
110	-5	11	3	6
111	0	11	3	1
112	-6	11	3	7
113	-8	11	3	9
114	-6	10	3	13
115	-7	10	3	8
116	-12	10	3	13
117	155	11	4	9
118	0	11	3	1
119	-21	11	2	13
120	0	11	3	1
121	0	11	3	1
122	0	11	3	1
123	-1	11	3	2
124	0	10	3	1
125	-1	10	3	2
126	144	11	4	8
127	-2	11	3	3
128	-6	11	3	7
129	-6	11	3	7
130	-9	11	3	10
131	0	11	3	1
132	-8	11	3	9
133	-10	10	3	11
134	-7	10	3	8
135	0	10	3	1
136	0	10	3	1
137	-5	10	3	6
138	-11	10	3	12
139	-1	10	3	2
140	0	10	3	1
141	-3	10	3	4
142	-9	10	3	10
143	-3	9	3	4
144	-1	9	3	2
145	-2	9	3	3
146	-1	9	3	4
147	-9	9	3	10
148	-10	9	3	11
149	-7	9	3	8
150	-7	9	3	8
151	-4	9	3	5
152	-8	9	3	9
153	0	8	3	1
154	-3	8	3	4
155	0	8	3	1
156	-1	8	3	2
157	-2	8	3	3
158	0	8	3	1
159	-7	8	3	14
160	-6	8	3	7
161	-1	8	3	8
162	-8	8	3	9
163	285	9	4	13
164	-8	9	3	9
165	-3	9	3	4
166	-4	9	3	5
167	-3	9	3	4
168	0	9	3	1
169	-3	9	3	4
170	0	9	3	1
171	-1	9	3	2
172	0	9	3	1
173	0	9	3	1
174	153	10	4	5
175	-6	10	3	7
176	0	9	3	1
177	-6	9	3	7
178	142	10	4	10
179	0	10	3	1
180	0	10	3	1
181	-5	10	3	6
182	-6	10	3	9
183	145	11	4	11
184	0	10	3	1
185	-9	10	3	10
186	-1	10	3	2
187	-2	10	3	3
188	0	10	3	1
189	-2	10	3	3
190	0	10	3	1
191	-10	10	3	11
192	-3	10	3	4
193	-6	10	3	7
194	-13	10	3	16
195	-9	10	3	10
196	-7	10	3	8
197	0	9	3	1
198	-1	9	3	2
199	-7	9	3	10
200	-8	9	3	9
201	-3	9	3	4
202	142	10	4	10
203	0	10	3	1
204	0	10	3	1
205	150	10	4	2
206	-14	10	3	15
207	141	11	4	11
208	0	11	3	1
209	142	11	4	10
210	-7	11	3	8
211	-2	11	3	3
212	0	11	3	1
213	0	11	3	1
214	-3	11	3	4
215	-5	11	3	6
216	-7	11	3	8
217	0	11	3	1
218	-3	11	3	4
219	0	11	3	1
220	-13	11	3	14
221	-7	11	3	8
222	-9	11	3	10
223	0	10	3	1
224	-3	10	3	6
225	0	10	3	1
226	150	11	4	8
227	-3	11	3	4
228	-2	11	3	3
229	-8	11	3	9
230	0	11	3	1
231	0	11	3	1
232	0	11	3	1
233	-13	11	3	14
234	0	10	3	1
235	-11	10	3	12
236	0	10	3	1
237	-8	10	3	9
238	-6	10	3	7
239	0	10	3	1
240	-3	10	3	4
241	0	10	3	1
242	0	10	3	1
243	-1	10	3	2
244	-10	10	3	11
245	0	10	3	1
246	0	10	3	1
247	0	10	3	1
248	0	10	3	1
249	0	10	3	1
250	-5	10	3	8
251	141	10	4	11
252	0	10	3	1
253	-7	10	3	8
254	-8	10	3	9
255	-2	10	3	5
256	-4	10	3	5
257	142	10	4	10
258	-8	10	3	9
259	0	10	3	1
260	143	11	4	11
261	-6	11	3	7
262	0	11	3	1
263	0	11	3	1
264	-7	11	3	8
265	-8	10	3	9
266	0	10	3	1
267	0	10	3	1
268	-5	10	3	6
269	145	11	4	7
270	0	11	3	1
271	-7	11	3	8
272	-4	11	3	5
273	0	11	3	1
274	0	11	3	1
275	0	11	3	1
276	0	10	3	1
277	-4	10	3	5
278	-3	10	3	4
279	-5	10	3	6
280	-3	10	3	4
281	-7	10	3	8
282	-10	10	3	13
283	-1	10	3	2
284	0	10	3	1
285	0	10	3	1
286	0	10	3	1
287	-2	10	3	3
288	-14	10	3	15
289	-2	10	3	3
290	-12	10	3	13
291	0	10	3	1
292	-9	10	3	10
293	2	10	3	5
294	-5	10	3	6
295	148	10	4	8
296	-2	10	3	3
297	0	10	3	1
298	-8	10	3	9
299	-5	10	3	6
300	-1	10	3	2
301	0	10	3	1
302	-1	10	3	2
303	-4	10	3	5
304	-2	10	3	3
305	-3	10	3	12
306	145	10	4	7
307	-5	10	3	6
