Iterations	Score	Mean Score	Max Snake Lengths	Nb Turns
0	0	0	3	1
1	0	0	3	1
2	-1	0	3	2
3	-1	0	3	2
4	-3	-1	3	4
5	0	0	3	1
6	-1	0	3	2
7	0	0	3	1
8	-10	-1	3	11
9	0	-1	3	1
10	-2	-1	3	3
11	-4	-1	3	5
12	-1	-1	3	2
13	0	-1	3	1
14	-11	-2	2	3
15	-4	-2	3	5
16	0	-2	3	1
17	-5	-2	3	6
18	-2	-2	3	3
19	-1	-2	3	2
20	-4	-2	3	5
21	0	-2	3	1
22	-5	-2	3	6
23	-3	-2	3	4
24	-1	-2	3	2
25	-11	-2	3	12
26	-6	-2	3	7
27	-2	-2	3	3
28	-2	-2	3	3
29	-4	-2	3	5
30	-3	-2	3	4
31	0	-2	3	1
32	-14	-3	2	6
33	-2	-3	3	3
34	-6	-3	3	7
35	0	-3	3	1
36	-2	-3	3	3
37	0	-2	3	1
38	-2	-2	3	3
39	-2	-2	3	3
40	-1	-2	3	2
41	-2	-2	3	3
42	0	-2	3	1
43	-4	-2	3	5
44	0	-2	3	1
45	-1	-2	3	2
46	150	0	4	2
47	-8	0	3	9
48	-4	0	3	5
49	146	3	4	6
50	-5	3	3	6
51	-3	2	3	4
52	-7	2	3	8
53	-7	2	3	8
54	-3	2	3	4
55	-6	2	3	7
56	-11	2	3	12
57	-5	1	3	6
58	-10	1	3	11
59	0	1	3	1
60	-25	1	2	17
61	147	3	4	5
62	0	3	3	1
63	-2	3	3	3
64	-5	3	3	6
65	0	3	3	1
66	-13	3	3	14
67	142	5	4	10
68	-6	4	3	7
69	0	4	3	1
70	-3	4	3	4
71	-4	4	3	5
72	0	4	3	1
73	0	4	3	1
74	-2	4	3	3
75	-1	4	3	2
76	-6	4	3	7
77	-1	4	3	2
78	-4	4	3	5
79	-2	3	3	3
80	-9	3	3	10
81	-5	3	3	6
82	-5	3	3	6
83	0	3	3	1
84	138	5	4	14
85	0	5	3	1
86	0	5	3	1
87	0	4	3	1
88	-7	4	3	8
89	-3	4	3	4
90	-5	4	3	6
91	0	4	3	1
92	-7	4	3	8
93	-8	4	3	9
94	0	4	3	1
95	0	4	3	1
96	0	4	3	1
97	146	5	4	6
98	0	5	3	1
99	0	5	3	1
100	-2	5	3	3
101	-9	5	3	10
102	0	5	3	1
103	295	8	5	8
104	0	7	3	1
105	139	9	4	13
106	-6	9	3	7
107	139	10	4	13
108	-1	10	3	2
109	0	10	3	1
110	-7	9	3	8
111	143	11	4	9
112	-6	10	3	7
113	0	10	3	1
114	0	10	3	1
115	0	10	3	1
116	-8	10	3	9
117	-8	10	3	9
118	-10	10	3	11
119	-1	10	3	2
120	-2	10	3	3
121	0	9	3	1
122	-1	9	3	2
123	-6	9	3	7
124	-4	9	3	5
125	-4	9	3	5
126	-6	9	3	7
127	0	9	3	1
128	-5	9	3	6
129	-9	9	3	10
130	0	8	3	1
131	-9	8	3	10
132	-8	8	3	9
133	-10	8	3	11
134	-6	8	3	7
135	0	8	3	1
136	-12	8	3	13
137	-12	8	3	13
138	0	8	3	1
139	-9	7	3	10
140	-9	7	3	10
141	-9	7	3	10
142	0	7	3	1
143	144	8	4	8
144	135	9	3	8
145	-5	9	3	6
146	0	9	3	1
147	0	9	3	1
148	-6	9	3	7
149	0	9	3	1
150	0	9	3	1
151	-7	8	3	8
152	-9	8	3	10
153	-21	8	3	22
154	0	8	3	1
155	0	8	3	1
156	-10	8	3	11
157	0	8	3	1
158	-1	8	3	2
159	-7	8	3	8
160	-2	8	3	3
161	-1	8	3	2
162	-25	7	3	26
163	-10	7	3	11
164	296	9	5	7
165	-3	9	3	4
166	0	9	3	1
167	0	9	3	1
168	-5	9	3	6
169	0	9	3	1
170	-8	9	3	9
171	-6	8	3	7
172	-4	8	3	5
173	-13	8	3	14
174	-11	8	3	12
175	-11	8	3	12
176	0	8	3	1
177	-5	8	3	6
178	0	8	3	1
179	-8	8	3	9
180	-1	8	3	2
181	140	8	4	12
182	-3	8	3	4
183	-1	8	3	2
184	-1	8	3	2
185	-3	8	3	4
186	0	8	3	1
187	-6	8	3	7
188	-3	8	3	4
189	-9	8	3	10
190	0	8	3	1
191	-11	8	3	12
192	-3	8	3	4
193	-4	8	3	5
194	149	8	4	3
195	-7	8	3	8
196	0	8	3	1
197	0	8	3	1
198	-1	8	3	2
199	0	8	3	1
