Iterations	Score	Mean Score	Max Snake Lengths	Nb Turns
0	-15	-15	3	4
1	0	-7	3	1
2	-25	-13	3	6
3	-5	-11	3	2
4	0	-9	3	1
5	-20	-10	3	5
6	-5	-10	3	2
7	-40	-13	3	9
8	-25	-15	3	6
9	-5	-14	3	2
10	0	-12	3	1
11	0	-11	3	1
12	0	-10	3	1
13	0	-10	3	1
14	-5	-9	3	2
15	-10	-9	3	3
16	0	-9	3	1
17	-30	-10	3	7
18	0	-9	3	1
19	-20	-10	3	5
20	0	-9	3	1
21	-35	-10	3	8
22	-55	-12	3	12
23	-20	-13	3	5
24	-5	-12	3	2
25	-20	-13	3	5
26	-5	-12	3	2
27	-5	-12	3	2
28	-10	-12	3	3
29	0	-12	3	1
30	-5	-11	3	2
31	-25	-12	3	6
32	-5	-11	3	2
33	-15	-12	3	4
34	-45	-13	3	10
35	0	-12	3	1
36	0	-12	3	1
37	-20	-12	3	5
38	-5	-12	3	2
39	-10	-12	3	3
40	-5	-12	3	2
41	-10	-12	3	3
42	500	0	4	2
43	-550	-12	2	12
44	-10	-12	3	3
45	-35	-13	3	8
46	-20	-13	3	5
47	500	-2	4	2
48	-5	-2	3	2
49	-25	-3	3	6
50	480	6	4	6
51	-30	5	3	7
52	-25	5	3	6
53	-10	4	3	3
54	0	4	3	1
55	0	4	3	1
56	-45	3	3	10
57	-25	3	3	6
58	0	3	3	1
59	0	3	3	1
60	0	3	3	1
61	-15	2	3	4
62	0	2	3	1
63	-5	2	3	2
64	-10	2	3	3
65	-25	2	3	6
66	0	2	3	1
67	0	2	3	1
68	0	2	3	1
69	-5	1	3	2
70	-5	1	3	2
71	0	1	3	1
72	0	1	3	1
73	-5	1	3	2
74	-5	1	3	2
75	-505	-5	2	3
76	-35	-5	3	8
77	-15	-5	3	4
78	0	-5	3	1
79	0	-5	3	1
80	-5	-5	3	2
81	-70	-6	3	15
82	-25	-6	3	6
83	385	-1	4	25
84	0	-1	3	1
85	-20	-1	3	5
86	-5	-2	3	2
87	-30	-2	3	7
88	0	-2	3	1
89	-10	-2	3	3
90	-20	-2	3	5
91	0	-2	3	1
92	0	-2	3	1
93	-15	-2	3	4
94	-10	-2	3	3
95	-5	-2	3	2
96	-10	-2	3	3
97	0	-2	3	1
98	0	-2	3	1
99	-5	-2	3	2
100	-35	-3	3	8
101	-10	-3	3	3
102	0	-3	3	1
103	-15	-3	3	4
104	-35	-3	3	8
105	-35	-3	3	8
106	-125	-5	3	26
107	-10	-5	3	3
108	0	-5	3	1
109	0	-4	3	1
110	-20	-5	3	5
111	-40	-5	3	9
112	0	-5	3	1
113	480	-1	4	6
114	0	-1	3	1
115	-35	-1	3	8
116	-5	-1	3	2
117	-5	-1	3	2
118	-85	-2	3	18
119	0	-2	3	1
120	-20	-2	3	5
121	-5	-2	3	2
122	0	-2	3	1
123	-10	-2	3	3
124	475	1	4	7
125	-30	1	3	7
126	-10	1	3	3
127	-25	0	3	6
128	-5	0	3	2
129	-505	-3	2	3
130	-15	-3	3	4
131	0	-3	3	1
132	-15	-3	3	4
133	-5	-3	3	2
134	-5	-3	3	2
135	-15	-3	3	4
136	-5	-3	3	2
137	-20	-3	3	5
138	0	-3	3	1
139	-30	-3	3	7
140	-15	-3	3	4
141	-10	-3	3	3
142	0	-3	3	1
143	-45	-3	3	10
144	0	-3	3	1
145	0	-3	3	1
146	-35	-4	3	8
147	0	-4	3	1
148	-5	-4	3	2
149	-20	-4	3	5
150	-25	-4	3	6
151	-45	-4	3	10
152	-55	-4	3	12
153	-5	-4	3	2
154	-45	-5	3	10
155	-35	-5	3	8
156	0	-5	3	1
157	455	-2	4	11
158	0	-2	3	1
159	-10	-2	3	3
160	-45	-2	3	10
161	0	-2	3	1
162	-5	-2	3	2
163	-15	-2	3	4
164	-35	-3	3	8
165	-95	-3	3	20
166	485	0	4	5
167	-5	0	3	2
