Iterations	Scores	Mean Scores
504	1096	451
505	94	451
506	912	452
507	420	452
508	1101	453
509	-8	452
510	676	452
511	342	452
512	1334	454
513	784	455
514	841	455
515	960	456
516	1014	457
517	821	458
518	75	457
519	666	458
520	315	457
521	203	457
522	860	458
523	655	458
524	189	458
525	1047	459
526	-293	457
527	314	457
528	-17	456
529	329	456
530	630	456
531	-623	454
532	264	454
533	857	455
534	146	454
535	737	455
536	883	455
537	88	455
538	-129	454
539	1418	455
540	160	455
541	497	455
542	458	455
543	808	456
544	505	456
545	1175	457
546	734	457
547	471	457
548	642	458
549	256	457
550	539	458
551	434	458
552	1711	460
553	644	460
554	1144	461
555	25	461
556	597	461
557	632	461
558	1827	464
559	78	463
560	274	463
561	1182	464
562	253	463
563	327	463
564	-112	462
565	811	463
566	331	463
567	1287	464
568	694	464
569	1090	466
570	786	466
571	160	466
572	438	465
573	84	465
574	290	465
575	555	465
576	216	464
577	299	464
578	77	463
579	80	463
580	105	462
581	532	462
582	-37	461
583	412	461
584	435	461
585	94	461
586	676	461
587	232	460
588	60	460
589	254	459
590	-56	459
591	53	458
592	605	458
593	496	458
594	44	458
595	-134	457
596	322	456
597	1105	457
598	508	457
599	532	458
600	572	458
601	59	457
602	236	457
603	161	456
604	1612	458
605	284	458
606	1726	460
607	249	460
608	163	466
609	97	466
610	218	465
611	441	465
612	-611	463
613	-413	462
614	514	462
615	-188	461
616	831	462
617	821	462
618	533	462
619	480	462
620	422	462
621	891	463
622	537	463
623	352	463
624	479	463
625	132	462
626	258	462
627	131	461
628	711	462
629	426	462
630	751	462
631	192	462
632	621	462
633	207	462
634	415	462
635	253	461
636	1422	463
637	26	462
638	977	463
639	72	462
640	233	462
641	432	462
642	437	462
643	1578	464
644	491	464
645	770	464
646	515	464
647	858	465
648	753	465
649	304	465
650	890	466
651	263	465
652	1623	467
653	563	467
654	309	467
655	340	467
656	520	467
657	443	467
658	1117	468
659	152	467
660	70	467
661	785	467
662	709	468
663	44	467
664	562	467
665	-442	466
666	395	466
667	-237	465
668	993	465
669	153	465
670	418	465
671	792	465
672	122	465
673	923	465
674	70	465
675	1289	466
676	171	466
677	464	466
678	42	465
679	1029	466
680	1186	467
681	700	467
682	432	467
683	964	468
684	1079	469
685	430	469
686	533	469
687	-48	468
688	273	468
689	307	468
690	1374	469
691	1085	470
692	1182	471
693	-27	470
694	373	470
695	277	470
696	1140	471
697	396	471
698	698	471
