Iterations	Score	Mean Score	Max Snake Lengths	Nb Turns
0	-8	-8	3	9
1	-5	-6	3	6
2	-5	-6	3	6
3	-9	-6	3	10
4	-4	-6	3	5
5	-5	-6	3	6
6	-6	-6	3	7
7	-2	-5	3	3
8	-13	-6	3	14
9	-3	-6	3	4
10	-7	-6	3	8
11	-1	-5	3	2
12	-2	-5	3	3
13	126	4	4	26
14	-5	3	3	6
15	121	10	4	31
16	129	17	4	23
17	-23	15	3	24
18	-3	14	3	4
19	0	13	3	1
20	-1	13	3	2
21	-9	12	3	10
22	-51	9	2	43
23	-8	8	3	9
24	0	8	3	1
25	-47	6	3	48
26	-28	4	3	29
27	-40	3	3	41
28	-10	2	3	11
29	135	7	4	17
30	103	10	4	49
31	150	14	4	2
32	114	17	4	38
33	-34	16	3	35
34	138	19	4	14
35	67	20	3	76
36	225	26	5	78
37	-12	25	3	13
38	-19	24	3	20
39	108	26	3	35
40	-18	25	3	19
41	-65	23	3	66
42	-54	21	3	55
43	-91	18	3	92
44	146	21	4	6
45	196	25	5	107
46	-7	24	3	8
47	-55	23	3	56
48	281	28	5	22
49	142	30	4	10
50	244	34	5	59
51	-47	33	3	48
52	-4	32	3	5
53	251	36	5	52
54	225	40	5	78
55	133	41	4	19
56	204	44	5	99
57	-21	43	3	22
58	557	52	6	39
59	136	53	4	16
60	200	55	5	103
61	-9	54	3	10
62	248	57	4	46
63	185	59	5	118
64	280	63	5	23
65	-12	62	3	13
66	216	64	5	87
67	-1	63	3	2
68	0	62	3	1
69	482	68	6	114
70	560	75	7	45
71	175	76	5	128
72	147	77	4	5
73	-34	76	3	35
74	287	79	5	16
75	574	85	7	31
76	275	88	5	28
77	-6	86	3	7
78	81	86	4	71
79	879	96	9	28
80	424	100	6	30
81	-4	99	3	5
82	710	106	8	46
83	119	106	4	33
84	-3	105	3	4
85	280	107	5	23
86	688	114	8	68
87	907	123	11	302
88	102	123	4	50
89	-24	121	3	25
90	250	122	5	53
91	827	130	9	80
92	140	130	4	12
93	286	132	5	17
94	269	133	5	34
95	393	136	5	52
96	1279	148	12	81
97	278	149	5	25
98	-41	147	3	42
99	380	149	6	74
100	-3	148	3	4
101	527	152	7	78
102	264	153	5	39
103	250	154	5	53
104	-7	152	3	8
105	-7	151	3	8
106	706	156	8	50
107	-1	154	3	2
108	-18	153	3	19
109	-6	151	3	7
110	1250	161	12	110
111	242	162	5	61
112	709	167	8	47
113	146	167	4	6
114	1004	174	10	54
115	38	173	4	114
116	1121	181	10	79
117	709	185	8	47
118	227	186	5	76
119	132	185	4	20
120	109	185	4	43
121	262	185	5	41
122	-3	184	3	4
123	705	188	8	51
124	1066	195	11	143
125	83	194	4	69
126	711	198	8	45
127	532	201	7	73
128	1832	213	16	132
129	526	216	7	79
130	-11	214	3	12
131	151	213	5	152
132	51	212	4	101
133	125	212	4	27
134	386	213	6	68
135	919	218	10	139
136	-7	216	3	8
137	121	216	4	31
138	102	215	4	50
139	258	215	5	45
140	1062	221	11	147
141	-74	219	3	75
142	-7	218	3	8
143	278	218	5	25
144	279	218	5	24
145	367	219	6	87
146	113	219	4	39
147	101	218	4	51
148	2515	233	21	204
149	-25	232	3	26
150	130	231	4	22
151	1172	237	12	188
152	522	239	7	83
153	-52	237	3	53
154	1486	245	14	176
155	-101	243	3	102
156	113	242	4	39
157	816	246	9	233
158	138	245	4	14
159	-2	243	3	3
160	578	246	7	27
161	265	246	5	38
162	-84	244	4	236
163	134	243	4	18
164	1226	249	12	134
165	118	248	4	34
166	-69	246	4	221
167	-3	245	3	4
168	1012	249	10	46
169	937	253	10	121
170	1260	259	12	100
171	253	259	5	50
172	1407	266	13	104
173	407	267	6	47
174	392	267	6	62
175	703	270	7	44
176	953	274	10	105
177	214	273	5	89
178	940	277	11	269
179	682	279	8	74
180	273	279	5	30
181	349	280	6	105
182	-16	278	3	17
183	768	281	9	139
184	105	280	3	38
185	549	281	7	56
186	853	284	9	54
187	240	284	5	63
188	1355	290	13	156
189	343	290	6	111
190	505	291	6	91
191	658	293	8	98
192	1084	297	11	125
193	250	297	5	53
194	123	296	4	29
195	-4	294	3	5
196	136	294	4	16
197	-8	292	3	9
198	950	295	10	108
199	951	299	10	107
200	257	298	5	46
201	289	298	5	14
202	1088	302	11	121
203	0	301	3	1
204	1452	306	14	210
205	282	306	6	172
206	1202	311	12	158
207	710	312	8	46
208	406	313	6	48
209	-84	311	3	85
210	-14	309	7	619
211	115	309	4	37
212	1225	313	12	135
213	565	314	7	40
214	544	315	7	61
215	1077	319	11	132
216	58	317	4	94
217	390	318	6	64
218	133	317	4	19
219	97	316	4	55
220	-3	314	3	4
221	-9	313	3	10
222	930	316	9	119
223	-255	313	3	256
224	1061	317	10	139
225	264	316	5	39
226	2017	324	17	98
