Iterations	Scores	Mean Scores	Max Snake Lengths	Nb Turns
175	247	217	16	57
176	539	219	16	221
177	346	220	16	212
178	516	221	16	192
179	235	222	16	69
180	731	224	16	280
181	342	225	16	63
182	724	228	16	85
183	613	230	16	95
184	364	231	16	41
185	554	232	10	154
186	921	236	15	292
187	163	236	15	141
188	36	234	15	268
189	445	236	15	162
190	214	235	15	90
191	633	238	15	75
192	1237	243	17	230
193	112	242	17	91
194	402	243	17	205
195	194	243	17	211
196	543	244	17	64
197	500	245	17	208
198	884	249	17	127
199	514	250	17	295
200	-675	245	17	627
201	-28	244	17	29
202	81	243	17	21
203	343	244	17	163
204	438	245	17	68
205	229	245	17	277
206	323	245	17	183
207	70	244	17	436
208	65	243	17	239
209	-83	242	17	84
210	-82	240	17	83
211	-24	239	17	25
212	298	239	17	107
213	222	239	17	183
214	175	239	17	28
215	-72	237	17	125
216	-123	236	17	225
217	161	235	17	244
218	-26	234	17	27
219	841	237	17	69
220	110	236	17	93
221	771	239	17	240
222	341	239	17	64
223	60	238	17	244
224	56	238	17	147
225	45	237	17	57
226	88	236	17	14
227	86	235	17	16
228	-205	233	17	206
229	306	234	17	99
230	-2	233	17	3
231	85	232	17	17
232	121	232	17	82
233	22	231	17	80
234	-187	229	17	188
235	43	228	17	160
236	-106	227	17	361
237	247	227	17	57
238	-77	226	17	78
239	84	225	17	18
240	-295	223	17	296
241	602	224	17	106
242	201	224	17	305
243	466	225	17	141
244	0	224	17	203
245	-53	223	17	155
246	-13	222	17	115
247	529	223	17	78
248	558	225	17	49
249	529	226	17	78
250	437	227	17	69
251	-334	225	17	488
252	239	225	17	65
253	323	225	17	82
254	-491	222	17	593
255	244	222	17	363
256	134	222	17	170
257	155	222	17	48
258	524	223	17	83
259	-84	222	17	186
260	262	222	17	296
261	325	222	17	80
262	76	222	17	26
263	255	222	17	49
264	228	222	17	76
265	-80	221	17	81
266	-18	220	17	19
267	120	219	17	83
268	195	219	17	109
269	-128	218	17	484
270	86	218	17	16
271	-31	217	17	335
272	926	219	17	186
273	647	221	17	61
274	386	221	17	71
275	548	223	17	59
276	88	222	17	14
277	-13	221	17	14
278	276	221	17	28
279	363	222	17	143
280	174	222	17	130
281	407	222	17	99
282	131	222	17	72
283	255	222	17	49
284	244	222	17	60
285	410	223	17	96
286	-17	222	17	18
287	741	224	17	169
288	201	224	17	103
289	192	224	17	112
290	-245	222	17	347
291	90	222	17	214
292	35	221	17	67
293	482	222	17	24
294	510	223	17	198
295	160	223	17	43
296	-116	222	17	117
297	224	222	17	181
298	514	223	17	295
299	441	223	17	65
300	854	225	17	310
301	640	227	17	68
302	-10	226	17	11
303	-78	225	17	382
