Iterations	Scores	Mean Scores	Max Snake Lengths	Nb Turns
0	-3	-3	3	4
1	-7	-5	3	8
2	-4	-4	3	5
3	-8	-5	3	9
4	-4	-5	3	5
5	-7	-5	3	8
6	-5	-5	3	6
7	-10	-6	3	11
8	-8	-6	3	9
9	-8	-6	3	9
10	86	2	4	16
11	-6	1	4	7
12	-6	0	4	7
13	0	0	4	1
14	-11	0	4	12
15	-18	-1	4	19
16	0	-1	4	1
17	-5	-1	4	6
18	-10	-1	4	11
19	-8	-2	4	9
20	-11	-2	4	12
21	90	1	4	12
22	79	5	4	23
23	-2808	-112	4	2809
24	-2285	-199	4	2387
25	-6	-191	4	7
26	0	-184	4	1
27	-19	-178	4	121
28	-1485	-223	4	1486
29	0	-216	4	1
30	-3799	-331	4	3901
31	-118	-325	4	119
32	-9	-315	4	10
33	-64	-308	5	267
34	0	-299	5	1
35	257	-283	6	47
36	-2088	-332	6	2190
37	-573	-338	6	877
38	-1214	-361	6	1215
39	207	-347	6	97
40	-6576	-499	6	6577
41	-2576	-548	9	3183
42	-14	-536	9	15
43	116	-521	9	491
44	79	-507	9	176
45	-6662	-641	9	6663
46	94	-626	9	311
47	-5147	-720	16	6461
48	611	-693	16	97
49	344	-672	16	263
50	-638	-671	16	639
51	168	-655	16	338
52	110	-641	16	93
53	65	-628	16	37
54	-1663	-646	16	1716
55	64	-634	16	38
56	1094	-603	16	220
57	-4657	-673	16	5163
58	285	-657	16	120
59	159	-643	16	246
60	-488	-641	16	792
61	-28	-631	16	635
62	473	-613	16	740
63	156	-601	16	249
64	-66	-593	16	370
65	-6756	-686	16	6757
66	-640	-686	17	2055
67	183	-673	17	20
68	1113	-647	17	201
69	620	-629	17	88
70	423	-614	17	83
71	769	-595	17	245
72	-328	-591	17	329
73	-1873	-609	17	2076
74	363	-596	17	296
75	-288	-592	17	390
76	-1534	-604	17	1939
77	-859	-607	17	961
78	-326	-604	17	327
79	-504	-602	17	1010
80	-1198	-610	17	2007
81	-372	-607	17	474
82	-205	-602	17	812
83	-295	-598	17	801
84	187	-589	17	117
85	181	-580	17	22
86	754	-565	19	863
87	656	-551	19	153
88	511	-539	19	96
89	-1829	-553	19	2436
90	-1380	-562	19	1482
91	-3424	-593	19	3627
92	791	-578	19	119
93	59	-572	19	43
94	985	-555	19	228
95	175	-548	19	28
96	1199	-530	19	216
97	85	-523	19	17
98	166	-516	19	37
99	-293	-514	19	496
100	-3451	-543	19	5019
101	-56	-538	19	57
102	-186	-535	19	995
103	-375	-534	19	1689
104	278	-526	19	127
105	356	-517	19	150
106	-1030	-522	19	1334
107	-187	-519	19	188
108	985	-505	19	228
109	49	-500	19	760
110	514	-491	19	549
111	738	-480	19	172
112	711	-470	19	199
113	36	-465	19	268
114	428	-457	19	78
115	512	-449	19	196
116	-332	-448	19	939
117	94	-443	19	8
118	300	-437	19	206
119	-748	-440	19	850
120	765	-430	19	145
121	-518	-431	19	1327
122	864	-420	19	349
123	-2401	-436	19	2705
124	180	-431	19	23
125	657	-422	19	152
126	628	-414	19	181
127	184	-409	19	19
128	309	-404	19	96
129	172	-399	19	31
130	433	-393	19	73
131	155	-389	19	48
132	86	-385	19	16
133	174	-381	19	29
134	488	-375	19	70
135	71	-371	19	31
136	623	-364	19	85
137	464	-358	19	143
138	412	-353	19	94
139	173	-349	19	30
140	139	-345	19	64
141	-2	-343	19	3
142	120	-340	19	83
143	-140	-338	19	343
144	1070	-329	19	244
145	167	-325	19	36
146	186	-322	19	17
147	189	-318	19	14
